model,experiment,k,seed,n_train_samples,best_epoch,best_val_macro_f1,test_accuracy,test_macro_f1,test_auc,trainable_params,total_clip_params,lora_rank,lora_alpha,lora_dropout,lora_layers,clip_lora_targets,biomed_lora_targets,head_lr,lora_lr,lr_min,accumulation_steps,use_eval_preprocess_for_train
biomedclip,fewshot_lora,1,1,3,56,0.468383017163505,0.5263157894736842,0.37491533316399966,0.5962490011678653,886275,196787457,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
biomedclip,fewshot_lora,1,2,3,55,0.38458333333333333,0.42105263157894735,0.3061187214611872,0.5483748232835454,886275,196787457,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
biomedclip,fewshot_lora,1,3,3,13,0.380152329749104,0.45263157894736844,0.399931728963987,0.5938541602638966,886275,196787457,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
biomedclip,fewshot_lora,1,4,3,50,0.5670970827355332,0.5052631578947369,0.467842605156038,0.6799587149384309,886275,196787457,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
biomedclip,fewshot_lora,1,5,3,8,0.5929680988103357,0.5789473684210527,0.5633435815020554,0.7165659126764603,886275,196787457,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
biomedclip,fewshot_lora,1,6,3,22,0.6264775413711584,0.5684210526315789,0.5403709765411894,0.7820772635072838,886275,196787457,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
biomedclip,fewshot_lora,1,7,3,38,0.5079417726183896,0.47368421052631576,0.4677988677988678,0.7854334419243142,886275,196787457,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
biomedclip,fewshot_lora,1,8,3,14,0.4115174306771272,0.5263157894736842,0.3972677595628415,0.6932155223635954,886275,196787457,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
biomedclip,fewshot_lora,1,9,3,33,0.3361884162460947,0.30526315789473685,0.3685897435897436,0.5683239084557543,886275,196787457,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
biomedclip,fewshot_lora,1,10,3,28,0.4481438959050899,0.4421052631578947,0.4403793610760824,0.7319695433032146,886275,196787457,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
biomedclip,fewshot_lora,2,1,6,32,0.5904690320632656,0.5368421052631579,0.5298927992625303,0.7700596738172804,886275,196787457,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
biomedclip,fewshot_lora,2,2,6,46,0.5995084329180439,0.5789473684210527,0.5684564947722842,0.8128063085213185,886275,196787457,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
biomedclip,fewshot_lora,2,3,6,5,0.2533492347445836,0.3157894736842105,0.28330742232586625,0.44956471407789866,886275,196787457,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
biomedclip,fewshot_lora,2,4,6,61,0.6486934118513066,0.6736842105263158,0.6511379319181025,0.7968970127235847,886275,196787457,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
biomedclip,fewshot_lora,2,5,6,6,0.43001599339627505,0.3684210526315789,0.34889873261966287,0.571484469440859,886275,196787457,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
biomedclip,fewshot_lora,2,6,6,46,0.691530997195828,0.6105263157894737,0.6204285946727156,0.7926561763681438,886275,196787457,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
biomedclip,fewshot_lora,2,7,6,29,0.5443842380857692,0.6105263157894737,0.5430756843800322,0.7862566332698179,886275,196787457,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
