model,experiment,k,seed,n_train_samples,best_epoch,best_val_macro_f1,test_accuracy,test_macro_f1,test_auc,trainable_params,total_clip_params,lora_rank,lora_alpha,lora_dropout,lora_layers,clip_lora_targets,biomed_lora_targets,head_lr,lora_lr,lr_min,accumulation_steps,use_eval_preprocess_for_train
unimedclip,fewshot_lora,1,1,3,25,0.4858546471449698,0.42105263157894735,0.3810992994460736,0.5596874935972299,1181187,197083137,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,1,2,3,35,0.32962962962962966,0.5894736842105263,0.4281144781144781,0.6232456409941197,1181187,197083137,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,1,3,3,23,0.356021756021756,0.4,0.3512516469038209,0.4913212756366914,1181187,197083137,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,1,4,3,27,0.49931590148981453,0.3684210526315789,0.33772544121801445,0.5214500481488312,1181187,197083137,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,1,5,3,9,0.40931810355093384,0.30526315789473685,0.28048780487804875,0.4969050033806626,1181187,197083137,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,1,6,3,29,0.4295628664190783,0.37894736842105264,0.36442160724362743,0.6560708504927573,1181187,197083137,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,1,7,3,16,0.320363992005783,0.29473684210526313,0.29834392129042886,0.5956910381707542,1181187,197083137,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,1,8,3,33,0.32498642000810973,0.35789473684210527,0.2820490716894928,0.5649843260188088,1181187,197083137,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,1,9,3,21,0.40506059054446153,0.35789473684210527,0.2850407709414381,0.5215629930132972,1181187,197083137,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,1,10,3,15,0.32013463156629407,0.2631578947368421,0.26680545724556215,0.5782836990595611,1181187,197083137,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
