model,experiment,train_ratio,train_ratio_percent,shots_per_class,accuracy_mean,balanced_accuracy_mean,macro_f1_mean,weighted_f1_mean,auc_mean,n_train_samples_mean,accuracy_std,balanced_accuracy_std,macro_f1_std,weighted_f1_std,auc_std,n_train_samples_std
openai_clip_vit_b16,fewshot_linear_probe,,,1,0.42105263157894735,0.4310750507099391,0.36810874639372226,0.3879833290697753,0.593120387444424,3.0,0.0945417093705788,0.08257762756695557,0.08773493886845535,0.1040002500361368,0.0628639840497948,0.0
openai_clip_vit_b16,fewshot_linear_probe,,,2,0.3989473684210526,0.4127789046653144,0.3545160048647942,0.3945387487913442,0.5844226033150982,6.0,0.07025434160690631,0.05983523102208968,0.062118040071338254,0.0686160710325576,0.059105625729056324,0.0
openai_clip_vit_b16,fewshot_linear_probe,,,4,0.5105263157894736,0.5336082938922695,0.48715766350539463,0.5096735300854867,0.7052545843833876,12.0,0.09877675972111753,0.07252863256879882,0.09276954440496903,0.10938863116824452,0.06268973565324662,0.0
openai_clip_vit_b16,fewshot_linear_probe,,,8,0.5052631578947369,0.5534550371872887,0.4902932370496651,0.5089872750293918,0.7257809279406642,24.0,0.07923922660095589,0.06866929511550761,0.07560587529621518,0.0813246612532788,0.06516032459721541,0.0
openai_clip_vit_b16,fewshot_linear_probe,,,16,0.5831578947368421,0.6264412891593418,0.5700272041957518,0.5872799602364941,0.7907260126621182,48.0,0.05394843815798618,0.04792771710208179,0.05508955653028051,0.0585292887675091,0.03440884945151356,0.0
openai_clip_vit_b16,fewshot_linear_probe,,,32,0.6389473684210526,0.6725760649087221,0.6250362991461726,0.6440641857105087,0.828714474870408,96.0,0.054142067715044366,0.043502026057065726,0.04986594227360482,0.05395037651839261,0.04008870026136107,0.0
biomedclip_vit_b16,fewshot_linear_probe,,,1,0.4378947368421053,0.45473067387874694,0.39693199868683504,0.4228046982782009,0.663845980084824,3.0,0.09417637984208167,0.10872013439957988,0.08680047627302803,0.09781486666471571,0.11423243588020777,0.0
biomedclip_vit_b16,fewshot_linear_probe,,,2,0.5284210526315789,0.574613477574938,0.5158081570652838,0.5310024911360123,0.7351027465322597,6.0,0.14285485642104673,0.13577695927207684,0.1439384278638615,0.14677063266112922,0.11017888547961315,0.0
biomedclip_vit_b16,fewshot_linear_probe,,,4,0.6442105263157895,0.6688212756366915,0.6279936140579787,0.64812344771844,0.8178870244022374,12.0,0.04233853509894279,0.04036903013547968,0.03878975837094588,0.04315558157957689,0.028723464611138536,0.0
biomedclip_vit_b16,fewshot_linear_probe,,,8,0.6578947368421053,0.6930042821726392,0.6489852130213363,0.6578525652202352,0.8257239637756879,24.0,0.04217829922867128,0.04196842562123923,0.03879576745053527,0.041415128669807004,0.023347946676089262,0.0
biomedclip_vit_b16,fewshot_linear_probe,,,16,0.7021052631578948,0.722447599729547,0.6882490206747935,0.7050231250233945,0.8675250886143381,48.0,0.06713592923887794,0.06666038725977903,0.06743162219355114,0.06694620139819915,0.035861180004115645,0.0
biomedclip_vit_b16,fewshot_linear_probe,,,32,0.7031578947368421,0.7462249267523101,0.7019376266399037,0.7035532404125316,0.8792711752412565,96.0,0.02798231864895002,0.032184960211352025,0.02429514869296724,0.02911968571512727,0.016663476782213735,0.0
unimedclip,fewshot_linear_probe,,,1,0.37157894736842106,0.38201938246562994,0.34394936215890215,0.3679548279218005,0.5456027721433401,3.0,0.0816948808368063,0.05023212233865468,0.06550807632009142,0.07771965067795278,0.03080365986667231,0.0
unimedclip,fewshot_linear_probe,,,2,0.4147368421052632,0.4415145368492224,0.3991975851657988,0.4172064251439095,0.5941572930112484,6.0,0.05875490719700906,0.060080497704455206,0.04881180462633648,0.0627353923103178,0.06559318342893765,0.0
unimedclip,fewshot_linear_probe,,,4,0.5,0.498025693035835,0.47301901224975706,0.5033692787902627,0.6658311359026369,12.0,0.07447363255014429,0.06090950752451357,0.07187857198546264,0.0920859890306329,0.050576553941529295,0.0
unimedclip,fewshot_linear_probe,,,8,0.5242105263157895,0.5255983772819472,0.4977544194989507,0.5254062955668926,0.6910145983158154,24.0,0.06522919319928283,0.062147194393963934,0.06256040321847232,0.06954249758947177,0.056698163482764484,0.0
unimedclip,fewshot_linear_probe,,,16,0.6073684210526316,0.6157268424611224,0.5838474145603976,0.6155947439825173,0.7742920124162518,48.0,0.041233668899431836,0.05039318966020421,0.04426036598363604,0.03597910604689492,0.03428596002303563,0.0
unimedclip,fewshot_linear_probe,,,32,0.6673684210526316,0.6941897678611675,0.6524900093658605,0.6702953725409034,0.8271189993238675,96.0,0.05371974514808319,0.06538185284875386,0.05604347268865737,0.055049133904121174,0.038508693297571964,0.0
